Suite,Branch,Build,Flow,Status,PRS Report,PRS Config,Special Setup
Congestion,"X-2025.06-SP4","D20251228_12932978",power,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/Congestion/X-2025.06-SP4/D20251228_12932978/power/report/html/index.html","propts.cfg",""
Congestion,"X-2025.06-SP4","D20251228_12932978",timing,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/Congestion/X-2025.06-SP4/D20251228_12932978/timing/report/html/index.html","propts.cfg",""
Congestion,"X-2025.06-SP4","D20251228_12932978",leakage,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/Congestion/X-2025.06-SP4/D20251228_12932978/leakage/report/html/index.html","propts.cfg",""
CSS,"X-2025.06-SP4","D20260125_13059863",power,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/CSS/X-2025.06-SP4/D20260125_13059863/power/report/html/index.html","propts.cfg","CSS EGR"
CSS,"X-2025.06-SP4","D20260125_13059863",leakage,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/CSS/X-2025.06-SP4/D20260125_13059863/leakage/report/html/index.html","propts.cfg","CSS EGR"
CSS,"X-2025.06-SP4","D20260125_13059863",timing,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/CSS/X-2025.06-SP4/D20260125_13059863/timing/report/html/index.html","propts.cfg","CSS EGR"
CSS,"X-2025.06-SP4","D20260120_13034726",timing,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/CSS/X-2025.06-SP4/D20260120_13034726/timing/report/html/index.html","propts.cfg",""
CSS,"X-2025.06-SP4","D20260120_13034726",power,running,"","propts.cfg",""
CSS,"X-2025.06-SP4","D20260120_13034726",leakage,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/CSS/X-2025.06-SP4/D20260120_13034726/leakage/report/html/index.html","propts.cfg",""
RMS,"X-2025.06-SP4","D20260204_13125906",leakage,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20260204_13125906/leakage/report/html/index.html","propts.cfg","RMS EGR"
RMS,"X-2025.06-SP4","D20260204_13125906",timing,running,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20260204_13125906/timing/report/html/index.html","propts.cfg","RMS EGR"
RMS,"X-2025.06-SP4","D20260114_13003808",runtime,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20260114_13003808/runtime/report/html/index.html","propts.cfg","1x1 runtime"
RMS,"X-2025.06-SP4","D20260107_12966667",power,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20260107_12966667/power/report/html/index.html","propts.cfg","runtime testing on perf farm"
RMS,"X-2025.06-SP4","D20260107_12966667",timing,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20260107_12966667/timing/report/html/index.html","propts.cfg","runtime testing on perf farm"
RMS,"X-2025.06-SP4","D20251224_12926661",leakage,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20251224_12926661/leakage/report/html/index.html","propts.cfg",""
RMS,"X-2025.06-SP4","D20251224_12926661",power,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20251224_12926661/power/report/html/index.html","propts.cfg",""
RMS,"X-2025.06-SP4","D20251224_12926661",timing,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/X-2025.06-SP4/D20251224_12926661/timing/report/html/index.html","propts.cfg",""
RMS,"V-2023.12-SP5-6-T","D20260121_13040695",power,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/V-2023.12-SP5-6-T/D20260121_13040695/power/report/html/index.html","propts.cfg","Intel V-SP5-T image"
RMS,"V-2023.12-SP5-6-T","D20260121_13040695",timing,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/V-2023.12-SP5-6-T/D20260121_13040695/timing/report/html/index.html","propts.cfg","Intel V-SP5-T image"
RMS,"V-2023.12-SP5-6-T","D20260121_13040695",leakage,completed,"https://clearcase/slowfs/fast01/AIFS_PRS_Run_Management-20260112/AIFS_PRS_Run_Management/PRS_RUN_DATA/RMS/V-2023.12-SP5-6-T/D20260121_13040695/leakage/report/html/index.html","propts.cfg","Intel V-SP5-T image"
Subflow,"X-2025.06-SP4","D20260208_13143152",power,running,"","propts.cfg",""
Subflow,"X-2025.06-SP4","D20260208_13143152",timing,running,"","propts.cfg",""
Subflow,"X-2025.06-SP4","D20260208_13143152",leakage,running,"","propts.cfg",""